Language, Model, Accuracy, Time
ar, c, 0.9880784153938293, 3356.6589419841766
bg, c, 0.9665692448616028, 1372.2267031669617
cs, c, 0.9575839638710022, 1613.8561751842499
da, c, 0.9359279274940491, 1694.587946176529
de, c, 0.892918586730957, 1791.9596886634827
en, c, 0.9095473885536194, 1559.1875154972076
es, c, 0.9388909935951233, 2390.9303905963898
eu, c, 0.933576762676239, 1245.5095164775848
fa, c, 0.9576207995414734, 2042.2057037353516
fi, c, 0.9111597537994385, 1238.902866601944
fr, c, 0.9337418079376221, 2088.037272453308
he, c, 0.9436700940132141, 2160.9611077308655
hi, c, 0.9448490142822266, 1806.000429391861
hr, c, 0.9316363334655762, 1346.453262090683
id, c, 0.8811545372009277, 1660.262582540512
it, c, 0.9498721957206726, 1827.4952058792114
nl, c, 0.8950760960578918, 1304.4136054515839
no, c, 0.9376040101051331, 1288.4669325351715
pl, c, 0.9575504064559937, 893.157698392868
pt, c, 0.9532981514930725, 1819.8868775367737
sl, c, 0.9475929737091064, 1414.8568177223206
sv, c, 0.9490602016448975, 1109.3618664741516
